Title,table
Animal Aquaculture Facilities,AnimalAquacultureFacs
Animal Slaughtering and Processing Facilities,AnimalSlaughterProcessFacs
Beef Cattle Ranches and Farms,BeefCattleRanchesFarms
Botanical and Zoological Gardens,BotanicalZoologicalGardens
Cattle Feedlots,CattleFeedlots
Dairy Cattle Farms,DairyCattleFarms
Fruit and Tree Nut Farms,FruitTreeNutFarms
Greenhouse Nursery and Floriculture Production Facilities,GreenhouseFloricultureProdFacs
Hog and Pig Farms,HogPigFarms
Hunting, Trapping and Game Propagation Facilities,HuntTrapGamePropagationFacs
Oilseed and Grain Farms,OilseedGrainFarms
Other Crop Farms,OtherCropFarms
Poultry and Egg Production Farms,PoultryEggProdFarms
Poultry Slaughtering and Processing Facilities,PoultrySlaughterProcessFacs
State Fairgrounds,StateFairgrounds
Vegetable and Melon Farms,VegetableMelonFarms
Canada and Mexico Border Crossings,CanadaMexicoBorderCrossings
Canada and U.S. Border,Canada_US_Border
Mexico and U.S. Border,Mexico_US_Border
U.S. Ports of Entry,US_PortsOfEntry
Bathymetry Contours (Line),BathymetryContours
CityLimits,CityLimits
Congressional Districts,CongressionalDistricts
Counties,Counties
Critical Habitat Designations,CriticalHabitatDesignations
Environmental Protection Agency (EPA) Regions,EPA_Regions
Federal Lands,FederalLands
HSIP 133 Cities Areas of Interest,HSIP_133CitiesAreasOfInterest
Indian Reservations,IndianReservations
Islands,Islands
LandUseBndrys,LandUseBndrys
National Forests,NationalForests
National Marine Fisheries Service Regions,NatlMarineFisheriesServRegions
Political Boundaries (Area),PoliticalBndrys
Political Boundaries (Line),PoliticalBndrysLine
Urbanized Areas,UrbanAreas
U.S. County Boundaries,US_CountyBndrys
U.S. State Boundaries,US_StateBndrys
Biological Products Manufacturing Facilities,BiologicalProductsMfgFacs
Chemical Manufacturing Facilities,ChemicalMfgFacs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Comprehensive Environmental Response, Compensation, and Liability Information System (CERCLIS) Facilities,EPA_FRS_EmerResp_CERCLIS_Facs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Facility Response Plan (FRP) Facilities,EPA_FRS_EmerResp_FRP_Facs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Resource Conservation and Recovery Act, Treatment, Storage, and Disposal (RCRATSD) Facilities,EPA_FRS_EmerResp_RCRATSD_Facs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Risk Management Plan (RMP) Facilities,EPA_FRS_EmerResp_RMP_Facs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Toxic Release Inventory (TRI) Facilities,EPA_FRS_EmerResp_TRI_Facs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Toxic Substances Control Act (TSCA) Facilities,EPA_FRS_EmerResp_TSCA_Facs
Explosives Manufacturing Facilities,ExplosivesMfgFacs
Hazardous Materials Routes,HazardousMaterialsRoutes
Nitrogenous Fertilizer Plants,NitrogenousFertilizerPlants
Pharmaceutical Preparation Manufacturing Facilities,PharmaceuticalPrepMfgFacs
Phosphatic Fertilizer Plants,PhosphaticFertilizerPlants
Solid Waste Landfill Facilities,SolidWasteLandfillFacs
Fortune 500 Corporate Headquarters  ,Fortune500CorporateHdq
Grocery Stores,GroceryStores
Hotels and Motels,HotelsMotels
Malls and Shopping Center Boundaries,MallsShoppingCenterBndrys
Malls and Shopping Centers,MallsShoppingCenters
AM Transmission Towers ,AM_TransTowers
Antenna Structure Registrate,AntennaStructureRegistrate
Area Code Boundaries,AreaCodeBndrys
Broadband Radio Service (BRS) and Educational Broadband Service (EBS) Transmitters,BRS_EBS_Transmitters
Cellular Service Areas,CellularServiceAreas
Cellular Towers,CellularTowers
FM Transmission Towers,FM_TransTowers
Internet Exchange Points,InternetExchangePoints
Internet Service Providers,InternetServiceProviders
Information Technology (IT) Location Portals,IT_LocPortals
Land Mobile Broadcast Towers,LandMobileBroadcastTowers
Land Mobile Commercial Transmission Towers,LandMobileCommerTransTowers
Land Mobile Private Transmission Towers,LandMobilePrivateTransTowers
Microwave Service Towers,MicrowaveServiceTowers
Paging Transmission Towers,PagingTransTowers
TV Analog Station Transmitters,TV_AnalogStationTransmitters
TV Broadcast Contours,TV_BroadcastContours
TV Digital Station Transmitters,TV_DigitalStationTransmitters
College Boundaries,CollegeBndrys
Colleges and Universities,CollegesUniversities
Day Care Centers,DayCareCenters
Flight Schools,FlightSchools
Private Schools,PrivateSchools
Public Schools,PublicSchools
Supplemental Colleges,SupplementalColleges
Truck Driving Schools,TruckDrivingSchools
 Air Medical Communication or Dispatch Centers,AirMedCommsDispatchCenters
Air Medical Service Providers,AirMedServiceProviders
American Red Cross Chapter Facilities  ,AmericanRedCrossChpFacs
American Red Cross Chapter Regions,AmericanRedCrossChpRegions
American Red Cross Divisions,AmericanRedCrossDivisions
American Red Cross Headquarters,AmericanRedCrossHdq
American Red Cross Regions,AmericanRedCrossRegions
Airport, Hospital and Stand-alone Helipad Base Locations,AptHospOtherHelipadBaseLocs
Emergency Medical Service (EMS) Stations,EMS_Stations
Federal Emergency Management Agency (FEMA) Recovery Offices,FEMA_RecoveryOffices
Federal Emergency Management Agency (FEMA) Regional Headquarters,FEMA_RegionalHdq
Federal Emergency Management Agency (FEMA) Regions,FEMA_Regions
Fire Stations,FireStations
Hurricane Evacuation Routes,HurricaneEvacuationRoutes
Ingestion Exposure Pathway Emergency Planning Zones (EPZ),IngestionExposurePathway_EPZ
Local Emergency Operations Centers (EOC),Local_EOC
National Shelter System Facilities,NationalShelterSystemFacs
National Disaster Medical System (NDMS) Federal Coordinating Centers,NDMS_FedCoordinatingCenters
Office for Bombing Prevention (OBP) National Counter-IED Capabilities Asset Database (NCCAD),OBP_NCCAD
Plume Exposure Pathway Emergency Planning Zones (EPZ),PlumeExposurePathway_EPZ
Public Safety Answering Point (PSAP) 911 Service Area Boundaries,PSAP_911ServiceAreas
Receiving Hospitals,ReceivingHospitals
Rotor Wing 10 Minute Fly Circles,RotorWing10MinuteFlyCircles
Rotor Wing 20 Minute Fly Circles,RotorWing20MinuteFlyCircles
Rotor Wing 30 Minute Fly Circles,RotorWing30MinuteFlyCircles
State Emergency Operations Centers (EOC),State_EOC
Biodiesel Plants,BiodieselPlants
Electric Generating Units,ElecGeneratingUnits
Electric Holding Company Areas,ElecHoldingCompanyAreas
Electric Power Generation Plants,ElecPowerGenerationPlants
Electric Power Transmission Lines,ElecPowerTransLines
Electric Retail Service Territories,ElecRetailServiceTerritories
Electric Utility Balancing Authority Areas,ElecUtilityBalancingAuthAreas
Energy Distribution Control Facilities,EnergyDistControlFacs
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Power Plants,EPA_FRS_PowerPlants
Ethanol Plants,EthanolPlants
Federal Energy Regulatory Commission (FERC) Regions,FERC_Regions
Flowgates (Line),FlowgatesLine
Flowgates (Point),FlowgatesPoint
Gas Meter Stations,GasMeterStations
Gas Stations,GasStations
Gulf Shipping Fairways,GulfOfMexicoShippingFairways
Independent System Operator Boundaries,IndepSysOperatorBndrys
Liquefied Natural Gas Import Terminals  ,LiquefiedNaturalGasImportTerms
Lubricating Oils and Grease Plants,LubricatingOilsGreasePlants
Natural Gas Compressor Stations,NaturalGasCompStations
Natural Gas Distribution Service Territories,NaturalGasDistSvcTerritories
Natural Gas Import/Export Points,NaturalGasImportExportLocs
Natural Gas Liquid Pipelines,NaturalGasLiquidPipelines
Natural Gas Market Hubs,NaturalGasMarketHubs
Natural Gas Processing Plants,NaturalGasProcessingPlants
Natural Gas Receipt and Delivery Points,NaturalGasReceiptDeliveryLocs
Natural Gas Storage Facilities,NaturalGasStorageFacs
North American Electric Reliability Council (NERC) Regions,NERC_Regions
North American Electric Reliability Council (NERC) Reliability Coordinators,NERC_ReliabilityCoordinators
North American Electric Reliability Council (NERC) Subregions,NERC_Subregions
Non-Gasoline Alternative Fueling Stations,NonGasolineAltFuelingStations
Nuclear Fuel Plants,NuclearFuelPlants
Nuclear Power Plants,NuclearPowerPlants
Nuclear Research Facilities,NuclearResearchFacs
Outer Continental Shelf (OCS) Pacific Platforms,OCS_PacificPlatforms
Oil and Natural Gas Fields,OilNaturalGasFields
Oil and Natural Gas Interconnects,OilNaturalGasInterconMaintFacs
